date,spot chart,spot %age,lumpSum,%age Lumpsum,1% Dip,amount for 1% dip,%age 1% Dip,2% Dip,amount for 2% dip,%age 2% dip,2k for -2% & 1k for -1%,amount -2% || -1% dip,%age for -2% and -1% dip,when to invest 2k,2k sip,amount for 2k sip,%age for sip
2/18/2020,11992.5,-0.442,984.4,-1.56%,4983.3,5000,-0.33%,3041.110127,3000,1.37%,6011.643818,6000,0.19%,FALSE,4025.590718,4000,0.64%
2/19/2020,12125.9,1.112,995.35,-0.46%,5038.7,5000,0.77%,3074.938277,3000,2.50%,6078.515053,6000,1.31%,FALSE,4070.355287,4000,1.76%
2/20/2020,12080.85,-0.372,991.66,-0.83%,5020,5000,0.40%,3063.514303,3000,2.12%,6055.932226,6000,0.93%,FALSE,4055.213565,4000,1.38%
2/24/2020,11829.4,-2.081,971.02,-2.90%,5915.5,6000,-1.41%,4999.750522,5000,0.00%,7929.88446,8000,-0.88%,FALSE,3970.824571,4000,-0.73%
2/25/2020,11797.9,-0.266,968.43,-3.16%,5899.8,6000,-1.67%,4986.436901,5000,-0.27%,7908.768312,8000,-1.14%,FALSE,3960.262177,4000,-0.99%
2/26/2020,11678.5,-1.012,958.63,-4.14%,6840.1,7000,-2.28%,4935.97194,5000,-1.28%,8828.728056,9000,-1.90%,FALSE,3920.184324,4000,-2.00%
2/27/2020,11633.3,-0.387,954.92,-4.51%,6813.6,7000,-2.66%,4916.867952,5000,-1.66%,8794.557699,9000,-2.28%,FALSE,3905.013211,4000,-2.37%
2/28/2020,11201.75,-3.71,919.5,-8.05%,7560.8,8000,-5.49%,6734.471352,7000,-3.79%,10468.31395,11000,-4.83%,FALSE,3760.137221,4000,-6.00%
3/2/2020,11132.75,-0.616,913.83,-8.62%,7514.3,8000,-6.07%,6692.98868,7000,-4.39%,10403.83174,11000,-5.42%,TRUE,5736.974775,6000,-4.38%
3/3/2020,11303.3,1.532,927.83,-7.22%,7629.4,8000,-4.63%,6795.523024,7000,-2.92%,10563.21495,11000,-3.97%,FALSE,5824.865229,6000,-2.92%
3/4/2020,11251,-0.463,923.54,-7.65%,7594.1,8000,-5.07%,6764.08036,7000,-3.37%,10514.3393,11000,-4.42%,FALSE,5797.896103,6000,-3.37%
3/5/2020,11269,0.16,925.02,-7.50%,7606.2,8000,-4.92%,6774.901927,7000,-3.22%,10531.16075,11000,-4.26%,FALSE,5807.172737,6000,-3.21%
3/6/2020,10989.45,-2.481,902.07,-9.79%,8417.5,9000,-6.47%,8606.836985,9000,-4.37%,12269.91432,13000,-5.62%,FALSE,5663.096781,6000,-5.62%
3/9/2020,10451.45,-4.896,857.91,-14.21%,9005.4,10000,-9.95%,10185.48029,11000,-7.40%,13669.22785,15000,-8.87%,FALSE,5385.831563,6000,-10.24%
3/11/2020,10458.4,0.066,858.48,-14.15%,9011.4,10000,-9.89%,10192.25343,11000,-7.34%,13678.31761,15000,-8.81%,FALSE,5389.386211,6000,-10.18%
3/12/2020,9590.15,-8.302,787.21,-21.28%,9263.3,11000,-15.79%,11346.09875,13000,-12.72%,14542.75201,17000,-14.45%,FALSE,4941.959368,6000,-17.63%
3/13/2020,9955.2,3.807,817.17,-18.28%,9615.9,11000,-12.58%,11777.98912,13000,-9.40%,15096.32329,17000,-11.20%,FALSE,5130.099761,6000,-14.50%
3/16/2020,9197.4,-7.612,754.97,-24.50%,9883.9,12000,-17.63%,12881.43655,15000,-14.12%,15947.17573,19000,-16.07%,FALSE,4739.596568,6000,-21.01%
3/17/2020,8967.05,-2.505,736.06,-26.39%,10636.4,13000,-18.18%,14558.8194,17000,-14.36%,17547.77678,21000,-16.44%,FALSE,4620.869673,6000,-22.99%
3/18/2020,8468.8,-5.556,695.16,-30.48%,11045.4,14000,-21.10%,15749.86531,19000,-17.11%,18572.74265,23000,-19.25%,FALSE,4364.134154,6000,-27.26%
3/19/2020,8263.45,-2.425,678.3,-32.17%,11777.6,15000,-21.48%,17367.9653,21000,-17.30%,20122.39399,25000,-19.51%,FALSE,4258.303901,6000,-29.03%
3/20/2020,8745.45,5.833,717.87,-28.21%,12464.5,15000,-16.90%,18381.02392,21000,-12.47%,21296.1161,25000,-14.82%,FALSE,4506.690768,6000,-24.89%
3/23/2020,7610.25,-12.98,624.69,-37.53%,11846.6,16000,-25.96%,17995.08171,23000,-21.76%,20531.78139,27000,-23.96%,FALSE,3921.722306,6000,-34.64%
3/24/2020,7801.05,2.507,640.35,-35.97%,12143.6,16000,-24.10%,18446.24449,23000,-19.80%,21046.54291,27000,-22.05%,FALSE,4020.039884,6000,-33.00%
3/25/2020,8317.85,6.625,682.77,-31.72%,12948.1,16000,-19.07%,19668.26193,23000,-14.49%,22440.8236,27000,-16.89%,FALSE,4286.367527,6000,-28.56%
3/26/2020,8641.45,3.89,709.33,-29.07%,13451.8,16000,-15.93%,20433.44158,23000,-11.16%,23313.86778,27000,-13.65%,FALSE,4453.107223,6000,-25.78%
3/27/2020,8660.25,0.218,710.88,-28.91%,13481.1,16000,-15.74%,20477.89578,23000,-10.97%,23364.58852,27000,-13.46%,FALSE,4462.814997,6000,-25.62%
3/30/2020,8281.1,-4.378,679.75,-32.03%,13890.9,17000,-18.29%,21581.36344,25000,-13.67%,24341.67535,29000,-16.06%,FALSE,4267.432957,6000,-28.88%
3/31/2020,8597.75,3.824,705.75,-29.43%,14422,17000,-15.16%,22406.58457,25000,-10.37%,25272.44439,29000,-12.85%,FALSE,4430.619593,6000,-26.16%
4/1/2020,8253.8,-4,677.51,-32.25%,14845.1,18000,-17.53%,23510.21695,27000,-12.93%,26261.42904,31000,-15.29%,TRUE,6253.394809,8000,-21.83%
4/3/2020,8083.8,-2.06,663.56,-33.64%,15539.3,19000,-18.21%,25025.98703,29000,-13.70%,27720.53358,33000,-16.00%,FALSE,6124.574876,8000,-23.44%
4/7/2020,8792.2,8.763,721.71,-27.83%,16901.1,19000,-11.05%,27219.06568,29000,-6.14%,30149.74088,33000,-8.64%,FALSE,6661.271372,8000,-16.73%
4/8/2020,8748.75,-0.494,718.14,-28.19%,16817.5,19000,-11.49%,27084.55232,29000,-6.60%,30000.74447,33000,-9.09%,FALSE,6628.364692,8000,-17.15%
4/9/2020,9111.9,4.151,747.95,-25.21%,17515.6,19000,-7.81%,28208.79923,29000,-2.73%,31246.03898,33000,-5.32%,FALSE,6903.50811,8000,-13.71%
4/13/2020,8993.85,-1.296,738.26,-26.17%,18288.7,20000,-8.56%,27843.33772,29000,-3.99%,31841.22825,34000,-6.35%,FALSE,6814.038645,8000,-14.82%
